dataset_name,model,accuracy_syn_test,accuracy_train_test,fidelity
texture,TensorConFormerDec,0.9490909090909091,0.9836363636363636,0.9454545454545454
optdigits,VAE,0.8825622775800712,0.9750889679715302,0.8985765124555161
optdigits,TensorContracted,0.5854092526690391,0.9750889679715302,0.5818505338078291
optdigits,TensorConFormer,0.7455516014234875,0.9750889679715302,0.7437722419928826
optdigits,Transformed,0.1103202846975089,0.9750889679715302,0.10854092526690391
optdigits,TensorConFormerEnc,0.5640569395017794,0.9750889679715302,0.5676156583629893
optdigits,TensorConFormerDec,0.7170818505338078,0.9750889679715302,0.7099644128113879
first-order-theorem-proving,VAE,0.4526143790849673,0.6143790849673203,0.5473856209150327
first-order-theorem-proving,TensorContracted,0.3937908496732026,0.6143790849673203,0.4493464052287582
first-order-theorem-proving,TensorConFormer,0.4395424836601307,0.6143790849673203,0.4803921568627451
first-order-theorem-proving,Transformed,0.3480392156862745,0.6143790849673203,0.3937908496732026
first-order-theorem-proving,TensorConFormerEnc,0.4150326797385621,0.6143790849673203,0.46078431372549017
first-order-theorem-proving,TensorConFormerDec,0.42483660130718953,0.6143790849673203,0.5032679738562091
satimage,VAE,0.8444790046656299,0.9191290824261276,0.8693623639191291
satimage,TensorContracted,0.8398133748055988,0.9191290824261276,0.8600311041990669
satimage,TensorConFormer,0.8195956454121306,0.9191290824261276,0.8413685847589425
satimage,Transformed,0.71850699844479,0.9191290824261276,0.7480559875583204
satimage,TensorConFormerEnc,0.8367029548989113,0.9191290824261276,0.8693623639191291
satimage,TensorConFormerDec,0.838258164852255,0.9191290824261276,0.8740279937791602
GesturePhaseSegmentationProcessed,VAE,0.4777327935222672,0.6852226720647774,0.5738866396761133
GesturePhaseSegmentationProcessed,TensorContracted,0.4726720647773279,0.6852226720647774,0.5708502024291497
GesturePhaseSegmentationProcessed,TensorConFormer,0.46558704453441296,0.6852226720647774,0.5678137651821862
GesturePhaseSegmentationProcessed,Transformed,0.3481781376518219,0.6852226720647774,0.43016194331983804
GesturePhaseSegmentationProcessed,TensorConFormerEnc,0.4898785425101215,0.6852226720647774,0.6082995951417004
GesturePhaseSegmentationProcessed,TensorConFormerDec,0.48582995951417,0.6852226720647774,0.548582995951417
jm1,VAE,0.7704315886134068,0.8044077134986226,0.8668503213957759
jm1,TensorContracted,0.7474747474747475,0.8044077134986226,0.8475665748393021
jm1,TensorConFormer,0.7786960514233241,0.8044077134986226,0.8714416896235078
jm1,Transformed,0.6639118457300276,0.8044077134986226,0.7070707070707071
jm1,TensorConFormerEnc,0.7814508723599632,0.8044077134986226,0.8558310376492194
jm1,TensorConFormerDec,0.7796143250688705,0.8044077134986226,0.8925619834710744
pendigits,VAE,0.8327272727272728,0.9936363636363637,0.8336363636363636
pendigits,TensorContracted,0.8227272727272728,0.9936363636363637,0.8236363636363636
pendigits,TensorConFormer,0.8972727272727272,0.9936363636363637,0.8981818181818182
pendigits,Transformed,0.30363636363636365,0.9936363636363637,0.3054545454545455
pendigits,TensorConFormerEnc,0.8145454545454546,0.9936363636363637,0.8118181818181818
pendigits,TensorConFormerDec,0.9072727272727272,0.9936363636363637,0.9054545454545454
PhishingWebsites,VAE,0.9240506329113924,0.961121157323689,0.9358047016274864
PhishingWebsites,TensorContracted,0.9249547920433996,0.961121157323689,0.9403254972875226
PhishingWebsites,TensorConFormer,0.9177215189873418,0.961121157323689,0.9294755877034359
PhishingWebsites,Transformed,0.8842676311030742,0.961121157323689,0.9014466546112115
PhishingWebsites,TensorConFormerEnc,0.9258589511754068,0.961121157323689,0.9394213381555153
PhishingWebsites,TensorConFormerDec,0.9267631103074141,0.961121157323689,0.9403254972875226
letter,VAE,0.747,0.9705,0.7525
letter,TensorContracted,0.6375,0.9705,0.6365
letter,TensorConFormer,0.6755,0.9705,0.6805
letter,Transformed,0.19,0.9705,0.191
letter,TensorConFormerEnc,0.6205,0.9705,0.6235
letter,TensorConFormerDec,0.6865,0.9705,0.688
nomao,VAE,0.9025239338555265,0.9733101247461561,0.9048447925732521
nomao,TensorContracted,0.9155787641427328,0.9733101247461561,0.9184798375398897
nomao,TensorConFormer,0.876414273281114,0.9733101247461561,0.8816362053959965
nomao,Transformed,0.7606614447345518,0.9733101247461561,0.762402088772846
nomao,TensorConFormerEnc,0.9094865100087032,0.9733101247461561,0.9100667246881347
nomao,TensorConFormerDec,0.890629532927183,0.9733101247461561,0.8946910356832027
jungle_chess_2pcs_raw_endgame_complete,VAE,0.6287371709058456,0.8668005354752343,0.6396697902722
jungle_chess_2pcs_raw_endgame_complete,TensorContracted,0.6289602855867916,0.8668005354752343,0.6452476572958501
jungle_chess_2pcs_raw_endgame_complete,TensorConFormer,0.7072735385988398,0.8668005354752343,0.717090584560464
jungle_chess_2pcs_raw_endgame_complete,Transformed,0.5751896474788041,0.8668005354752343,0.5807675145024542
jungle_chess_2pcs_raw_endgame_complete,TensorConFormerEnc,0.6378848728246319,0.8668005354752343,0.642793395805444
jungle_chess_2pcs_raw_endgame_complete,TensorConFormerDec,0.7061579651941098,0.8668005354752343,0.715975011155734
bank-marketing,VAE,0.8987173816895179,0.9062361786819991,0.9389650597080937
bank-marketing,TensorContracted,0.8947368421052632,0.9062361786819991,0.9380804953560371
bank-marketing,TensorConFormer,0.8947368421052632,0.9062361786819991,0.9380804953560371
bank-marketing,Transformed,0.8834586466165414,0.9062361786819991,0.9175143741707209
bank-marketing,TensorConFormerEnc,0.8903140203449801,0.9062361786819991,0.929234851835471
bank-marketing,TensorConFormerDec,0.897390535161433,0.9062361786819991,0.9340999557717824
electricity,VAE,0.7535304501323918,0.9245366284201235,0.778243601059135
electricity,TensorContracted,0.7572815533980582,0.9245366284201235,0.7806707855251545
electricity,TensorConFormer,0.7634598411297441,0.9245366284201235,0.7850838481906444
electricity,Transformed,0.6540158870255958,0.9245366284201235,0.6615180935569285
electricity,TensorConFormerEnc,0.75,0.9245366284201235,0.7711827007943513
electricity,TensorConFormerDec,0.7672109443954104,0.9245366284201235,0.7901588702559577
adult,VAE,0.8249744114636642,0.8761514841351075,0.8886386898669396
adult,TensorContracted,0.8331627430910952,0.8761514841351075,0.9062436028659161
adult,TensorConFormer,0.8382804503582395,0.8761514841351075,0.9093142272262027
adult,Transformed,0.7510747185261003,0.8761514841351075,0.7860798362333674
adult,TensorConFormerEnc,0.8284544524053225,0.8761514841351075,0.899078812691914
adult,TensorConFormerDec,0.8348004094165814,0.8761514841351075,0.9070624360286592
connect-4,VAE,0.7360864416814683,0.8559798697454115,0.7942569567791593
connect-4,TensorContracted,0.7445233866193014,0.8559798697454115,0.8043220840734162
connect-4,TensorConFormer,0.7465956187092955,0.8559798697454115,0.8086145648312612
connect-4,Transformed,0.6477205447010065,0.8559798697454115,0.690793368857312
connect-4,TensorConFormerEnc,0.7525162818235642,0.8559798697454115,0.8105387803433984
connect-4,TensorConFormerDec,0.7479277679100059,0.8559798697454115,0.8084665482534044
numerai28.6,VAE,0.4988579734219269,0.5073712624584718,0.5492109634551495
